ps_unique_id|customer_nbr|group_nbr|idn_indicator|subgroup_nbr|account_nbr|file_id|clm_ln_type_cd|non_prfrrd_srv_cd|plsp_prod_cd|product_ln_cd|classification_cd|bnft_pkg_id|plan_id|benefit_tier_cd|fund_ctg_cd|src_subscriber_id|emp_last_nm|emp_first_nm|emp_gender|subscriber_brth_dt|subs_zip_cd|subs_st_postal_cd|coverage_type_cd|ssn_nbr|member_id|src_clm_mbr_id|mem_last_nm|mem_first_nm|mem_gender|mbr_rtp_type_cd|birth_dt|src_clm_id|acas_src_claim_line_id|acas_prev_clm_seg_id|derived_tcn_nbr|src_claim_line_id|claim_line_id|ntwk_srv_area_id|paid_prvdr_nsa_id|srv_capacity_cd|pcp_tax_id_format_cd|pcp_tax_id_nbr|pcp_print_nm|svc_pvdr_tax_id_format_cd|svc_pvdr_tax_id_nbr|srv_prvdr_id|srv_prvdr_print_nm|srv_prvdr_address_line_1_txt|srv_prvdr_address_line_2_txt|srv_prvdr_city_nm|srv_prvdr_state_postal_cd|srv_prvdr_zip_cd|srv_prvdr_provider_type_cd|srv_prvdr_specialty_cd|payee_cd|paid_prvdr_par_cd|received_dt|adjn_dt|srv_start_dt|srv_stop_dt|paid_dt_for_file_id_03_else_adjn_dt_for_other_file_id|filler1|filler2|filler3|mdc_cd|drg_cd|prcdr_cd|prcdr_modifier_cd_1|prcdr_type_cd|icd10_indicator|med_cost_subctg_cd|prcdr_group_nbr|type_srv_cd|srv_benefit_cd|tooth_1_nbr|plc_srv_cd|dschrg_status_cd|revenue_cd|hcfa_bill_type_cd|unit_cnt|src_unit_cnt|src_billed_amt|billed_amt|not_covered_amt_1|not_covered_amt_2|not_covered_amt_3|clm_ln_msg_cd_1|clm_ln_msg_cd_2|clm_ln_msg_cd_3|covered_amt|allowed_amt|filler_space|srv_copay_amt|src_srv_copay_amt|deductible_amt|coinsurance_amt|src_coins_amt|bnft_payable_amt|paid_amt|cob_paid_amt|ahf_bfd_amt|ahf_paid_amt|negot_savings_amt|r_c_savings_amt|cob_savings_amt|src_cob_svngs_amt|pri_payer_cvg_cd|cob_type_cd|cob_cd|prcdr_cd_ndc|acas_member_cumb_id|clm_ln_status_cd|src_member_id|reversal_cd|admit_cnt|admin_savings_amt|adj_prvdr_dsgnn_cd|aex_plan_dsgntn_cd|aex_benefit_tier_cd|aex_prvdr_spctg_cd|prod_distnctn_cd|billed_eligible_amt|spclty_ctg_cls_cd|poa_cd_1|poa_cd_2|poa_cd_3|filler4|filler5|filler6|pricing_mthd_cd|type_class_cd|specialty_ctg_cd|srv_prvdr_npi|ttl_ded_met_ind|ttl_interest_amt|ttl_surcharge_amt|srv_spclty_ctg_cd|hcfa_plc_srv_cd|hcfa_admit_src_cd|hcfa_admit_type_cd|src_admit_dt|src_discharge_dt|prcdr_modifier_cd_2|prcdr_modifier_cd_3|poa_cd_4|poa_cd_5|poa_cd_6|poa_cd_7|poa_cd_8|poa_cd_9|poa_cd_10|pri_icd9_dx_cd|icd9_dx_cd_2|icd9_dx_cd_3|icd9_dx_cd_4|icd9_dx_cd_5|icd9_dx_cd_6|icd9_dx_cd_7|icd9_dx_cd_8|icd9_dx_cd_9|icd9_dx_cd_10|icd9_prcdr_cd_1|icd9_prcdr_cd_2|icd9_prcdr_cd_3|icd9_prcdr_cd_4|icd9_prcdr_cd_5|icd9_prcdr_cd_6|ahf_det_order_cd|ahf_mbr_coins_amt|ahf_mbr_copay_amt|ahf_mbr_ded_amt|sensitivity_indicator|ub92_admission_type|filler7|org_cd
002026060100000001|1234567|0987654|N|001|AC123456|01|I|N||PPO|01|PKG0042|PPO001|3|F|W000000063|Taylor|Matthew|M|19670226|60346|IL|EC|154554458|W000000063|W000000063|Taylor|Matthew|M|EE|19670226|202606010000001|ACAS2026060100000001||TCN2026060100000001|SRC2026060100000001|002026060100000001|NY0001|NY0001||2|100000243|DR Jackson MD|2|100000243|PV000243|DR Jackson MD|1757 MEDICAL PLAZA||MI MEDICAL CTR|MI|15955|4|03|P|P|20260429|20260525|20260403|20260405|20260526||||05|195|99205||I|Y|08||4|||32|02|0300|111|1|2|275.49|275.49|104.89|0.00|0.00|PR1|CO45||170.60|170.60||75.00|75.00|25.19|12.96|12.96|57.45|57.45|0.00|0.00|0.00|104.89|0.00|0.00|0.00||N|||W000000063|P|W000000063|0|1|0.00|||3|03||275.49|||Y|||||1||03|2000000243|N|0.00|0.00|03|32|4|9|20260403|20260405|25|AT||||||||J06.9|J18.9||Z79.899|||||||99205|||||||12.96|75.00|25.19|N|9||AETNA
002026060100000002|1234567|0987654|N|001|AC123456|03|P|N||PPO|02|PKG0042|PPO001|2|F|W000000393|Lopez|Olivia|F|19850826|53617|NJ|EF||W000000542|W000000542|Lopez|Aiden|M|CH|20200203|202606010000002|ACAS2026060100000002||TCN2026060100000002|SRC2026060100000002|002026060100000002|NY0001|NY0001||2|100000222|DR Robinson MD|2|100000222|PV000222|DR Robinson MD|4665 MEDICAL PLAZA||WA MEDICAL CTR|WA|58232|1|12|P|P|20260518|20260527|20260328|20260328|20260529||||||99395|95|P|Y|04||4|||12||||2|2|1002.49|1002.49|307.25|0.00|0.00|PR1|CO45||695.24|695.24||40.00|40.00|17.42|98.27|98.27|539.55|539.55|0.00|0.00|0.00|307.25|0.00|0.00|0.00||N|||W000000542|P|W000000542|0|0|0.00|||2|12||1002.49|||N|||||1||12|2000000222|N|0.00|0.00|12|12|||||||N|||||||Z87.891|Z00.00|N39.0|Z00.00|||||||99395|||||||98.27|40.00|17.42|N|||AETNA
002026060100000003|1234567|0987654|N|001|AC123456|01|I|N||PPO|01|PKG0042|PPO001|2|F|W000000347|White|Benjamin|M|19650104|32276|CA|ES||W000000459|W000000459|White|Ella|F|CH|20170206|202606010000003|ACAS2026060100000003||TCN2026060100000003|SRC2026060100000003|002026060100000003|NY0001|NY0001||2|100000168|DR Davis MD|2|100000168|PV000168|DR Davis MD|2062 MEDICAL PLAZA||GA MEDICAL CTR|GA|55192|4|03|P|P|20260502|20260522|20260505|20260508|20260524||||11|872|99214||I|Y|04||F|||99|01|0110|132|1|2|396.87|396.87|113.79|0.00|0.00|PR1|CO45||283.08|283.08||50.00|50.00|71.09|17.28|17.28|144.71|144.71|0.00|0.00|0.00|113.79|0.00|0.00|0.00||N|||W000000459|P|W000000459|0|1|0.00|||2|03||396.87||Y||||||1||03|2000000168|N|0.00|0.00|03|99|5||20260505|20260508|95|GT||||||||M54.5|E11.9|I25.10|J18.9|||||||99214|||||||17.28|50.00|71.09|N|||AETNA
002026060100000004|1234567|0987654|N|001|AC123456|01|I|N||PPO|03|PKG0042|PPO001|2|F|W000000308|Lewis|Logan|M|19630124|41838|AZ|EC|849933194|W000000308|W000000308|Lewis|Logan|M|EE|19630124|202606010000004|ACAS2026060100000004||TCN2026060100000004|SRC2026060100000004|002026060100000004|NY0001|NY0001||2|100000266|DR Martinez MD|2|100000266|PV000266|DR Martinez MD|3389 MEDICAL PLAZA||IL MEDICAL CTR|IL|13677|4|11|P|P|20260502|20260519|20260427|20260429|20260520||||11|379|80053||I|Y|08||4|||23|02|0370|112|3|2|163.74|163.74|68.76|0.00|0.00|PR1|CO45||94.98|94.98||40.00|40.00|4.85|5.85|5.85|44.28|44.28|0.00|0.00|0.00|68.76|0.00|0.00|0.00||N|||W000000308|P|W000000308|0|1|0.00|||2|11||163.74|||N|||||1||11|2000000266|N|0.00|0.00|11|23|5||20260427|20260429|26|26||||||||R51|R51|||||||||80053|||||||5.85|40.00|4.85|N|||AETNA
002026060100000005|1234567|0987654|N|001|AC123456|03|P|N||PPO|01|PKG0042|PPO001|2|F|W000000304|Walker|Logan|M|19931112|85991|MI|EF|724856655|W000000304|W000000304|Walker|Logan|M|EE|19931112|202606010000005|ACAS2026060100000005||TCN2026060100000005|SRC2026060100000005|002026060100000005|NY0001|NY0001||2|100000039|DR Miller MD|2|100000039|PV000039|DR Miller MD|8744 MEDICAL PLAZA||GA MEDICAL CTR|GA|45514|1|09|P|P|20260507|20260527|20260308|20260308|20260531||||||71046|25|P|Y|01||N|||23||||2|1|520.95|520.95|339.30|0.00|0.00|PR1|CO45||181.65|181.65||20.00|20.00|22.38|16.84|16.84|122.43|122.43|0.00|0.00|0.00|339.30|0.00|0.00|0.00||N|||W000000304|P|W000000304|0|0|0.00|||2|09||520.95||N||||||1||09|2000000039|N|0.00|0.00|09|23|||||50|25||||||||Z12.31|Z00.00|||||||||71046|||||||16.84|20.00|22.38|N|||AETNA
002026060100000006|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|3|F|W000000138|Thompson|Lucas|M|19860210|21496|GA|EF||W000000602|W000000602|Thompson|Evelyn|F|CH|20200617|202606010000006|ACAS2026060100000006||TCN2026060100000006|SRC2026060100000006|002026060100000006|NY0001|NY0001||2|100000277|DR Lee MD|2|100000277|PV000277|DR Lee MD|5130 MEDICAL PLAZA||VA MEDICAL CTR|VA|59312|1|07|P|P|20260510|20260517|20260316|20260316|20260521||||||99291|51|P|Y|04||B|||21||||1|3|2050.88|2050.88|1450.69|0.00|0.00|PR1|CO45||600.19|600.19||40.00|40.00|151.30|63.27|63.27|345.62|345.62|0.00|0.00|0.00|1450.69|0.00|0.00|0.00||N|||W000000602|P|W000000602|0|0|0.00|||3|07||2050.88||Y||||||1||07|2000000277|N|0.00|0.00|07|21|||||59|||||||||R05||J18.9||||||||99291|||||||63.27|40.00|151.30|N|||AETNA
002026060100000007|1234567|0987654|N|001|AC123456|03|P|Y||PPO|01|PKG0042|PPO001|N|F|W000000061|Johnson|Aiden|M|19881221|15399|GA|ES|288289895|W000000061|W000000061|Johnson|Aiden|M|EE|19881221|202606010000007|ACAS2026060100000007||TCN2026060100000007|SRC2026060100000007|002026060100000007|NY0001|NY0001||2|100000256|DR Young MD|2|100000256|PV000256|DR Young MD|4977 MEDICAL PLAZA||AZ MEDICAL CTR|AZ|69790|1|01|P|N|20260503|20260519|20260422|20260422|20260523||||||80053|95|P|Y|07||A|||12||||3|1|984.00|984.00|623.84|0.00|0.00|PR1|CO45||360.16|360.16||75.00|75.00|49.46|45.04|45.04|190.66|190.66|0.00|0.00|0.00|623.84|0.00|0.00|0.00||N|||W000000061|P|W000000061|0|0|0.00|||N|01||984.00||Y|N|||||1||01|2000000256|N|0.00|0.00|01|12|||||26|||||||||K57.30|M17.11|||||||||80053|||||||45.04|75.00|49.46|N|||AETNA
002026060100000008|1234567|0987654|N|001|AC123456|03|P|N||PPO|01|PKG0042|PPO001|3|F|W000000180|Jones|Victoria|F|19711224|62163|NJ|EC||W000000489|W000000489|Jones|Zoey|F|CH|20070806|202606010000008|ACAS2026060100000008||TCN2026060100000008|SRC2026060100000008|002026060100000008|NY0001|NY0001||2|100000152|DR White MD|2|100000152|PV000152|DR White MD|1195 MEDICAL PLAZA||NC MEDICAL CTR|NC|61034|1|02|P|P|20260508|20260528|20260507|20260507|20260529||||||90847|GT|P|Y|03||1|||13||||3|3|3696.49|3696.49|994.43|0.00|0.00|PR1|CO45||2702.06|2702.06||0.00|0.00|754.81|284.57|284.57|1662.68|1662.68|0.00|0.00|0.00|994.43|0.00|0.00|0.00||N|||W000000489|P|W000000489|0|0|0.00|||3|02||3696.49||||||||1||02|2000000152|N|0.00|0.00|02|13|||||TC|AT||||||||J30.9||||||||||90847|||||||284.57|0.00|754.81|N|||AETNA
002026060100000009|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|2|F|W000000142|Jones|Daniel|M|19600420|47183|FL|EF|837984015|W000000142|W000000142|Jones|Daniel|M|EE|19600420|202606010000009|ACAS2026060100000009||TCN2026060100000009|SRC2026060100000009|002026060100000009|NY0001|NY0001||2|100000221|DR Lewis MD|2|100000221|PV000221|DR Lewis MD|540 MEDICAL PLAZA||FL MEDICAL CTR|FL|53392|1|11|P|P|20260501|20260514|20260502|20260502|20260516||||||99205||P|Y|08||2|||31||||2|3|773.28|773.28|207.88|0.00|0.00|PR1|CO45||565.40|565.40||20.00|20.00|35.50|56.00|56.00|453.90|453.90|0.00|0.00|0.00|207.88|0.00|0.00|0.00||N|||W000000142|P|W000000142|0|0|0.00|||2|11||773.28|||Y|||||1||11|2000000221|N|0.00|0.00|11|31||||||95||||||||N39.0|N39.0|||||||||99205|||||||56.00|20.00|35.50|N|||AETNA
002026060100000010|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|1|F|W000000066|Wilson|Nora|F|19730616|33185|PA|EE|271617878|W000000066|W000000066|Wilson|Nora|F|EE|19730616|202606010000010|ACAS2026060100000010||TCN2026060100000010|SRC2026060100000010|002026060100000010|NY0001|NY0001||2|100000157|DR Lewis MD|2|100000157|PV000157|DR Lewis MD|8349 MEDICAL PLAZA||VA MEDICAL CTR|VA|10596|1|07|P|P|20260505|20260531|20260412|20260412|20260601||||||36415||P|Y|03||B|||24||||3|3|5327.47|5327.47|2978.27|0.00|0.00|PR1|CO45||2349.20|2349.20||30.00|30.00|504.07|253.61|253.61|1561.52|1561.52|0.00|0.00|0.00|2978.27|0.00|0.00|0.00||N|||W000000066|P|W000000066|0|0|0.00|||1|07||5327.47||||||||1||07|2000000157|N|0.00|0.00|07|24|||||59|||||||||F32.9||||||||||36415|||||||253.61|30.00|504.07|N|||AETNA
