member_id|first_name|last_name|gender|birth_dt|state
W000000001|Sebastian|Harris|M||CO
W000000002|Logan|Brown|M|19780922|PA
W000000004|Zoey|Lee|F|19730727|PA
W000000005|Aria|Garcia|F|19640727|VA
W000000006|Liam|Williams|M||VA
W000000007|James|Davis|M|19610916|MI
W000000008|Benjamin|Lee|M|19720817|FL
W000000009|Ella|Jackson|F|19630719|OH
W000000010|Elizabeth|Clark|F||CA
W000000011|Harper|Jackson|F|19790224|OH
W000000012|Mia|Lewis|F|19911214|MI
W000000013|Isabella|Lopez|F|19690106|IL
W000000014|Zoey|Rodriguez|F||NY
W000000015|Henry|Jackson|M|19691128|MI
W000000016|Jacob|Williams|M|19650902|CA
W000000017|Riley|Thomas|F|19820727|PA
W000000018|Evelyn|Martin|F||WA
W000000019|Sophia|Thomas|F|19660817|MI
W000000020|Abigail|Jones|F|19930918|
W000000021|Sofia|Lewis|F|19831008|TX
W000000022|William|Jones|M||WA
W000000023|Benjamin|Garcia|M|19690918|GA
W000000024|Sebastian|Jackson|M|19901220|NY
W000000025|Matthew|Sanchez|M|19680224|NC
W000000026|Chloe|Young|F||CA
W000000027|Daniel|Gonzalez|M|19771006|GA
W000000028|Oliver|Brown|M|19870116|GA
W000000029|Matthew|Thompson|M|19810504|OH
W000000030|Liam|Perez|M||OH
W000000031|Mia|Martinez|F|19720520|OH
W000000032|Sebastian|Harris|M|19880405|MI
W000000033|Aiden|Robinson|M|19910117|TX
W000000034|Aria|Anderson|F||TX
W000000035|Victoria|Miller|F|19630609|TX
W000000036|Amelia|Lewis|F|19730919|OH
W000000037|Aria|Ramirez|F|19770207|IL
W000000038|David|Sanchez|M||IL
W000000039|Daniel|Harris|M|19820619|CA
W000000040|Ella|Anderson|F|19940310|MI
W000000041|Sebastian|Smith|M|19730319|MA
W000000042|Ella|Wilson|F||CA
W000000043|David|Ramirez|M|19770227|NJ
W000000044|Sofia|Young|F|19621207|PA
W000000045|Chloe|Lopez|F|19720812|OH
W000000046|Victoria|Jackson|F||GA
W000000047|Henry|Jones|M|19821225|PA
W000000048|Aria|Williams|F|19741205|GA
W000000049|Chloe|Martin|F|19620424|WA
W000000050|Mia|White|F||AZ
W000000051|Amelia|Rodriguez|F|19700803|CO
W000000052|Harper|Robinson|F|19890518|GA
W000000054|Olivia|Miller|F|19720209|FL
W000000055|Charlotte|Young|F||AZ
W000000056|Avery|Smith|F|19731212|VA
W000000057|Benjamin|Martin|M|19710814|CO
W000000058|Carter|Lee|M|19800816|CO
W000000059|Sebastian|Thomas|M||CO
W000000060|Sophia|Davis|F|19790724|MI
W000000061|Aiden|Johnson|M|19881221|GA
W000000062|Elizabeth|Martin|F|19840117|GA
W000000063|Matthew|Taylor|M||IL
W000000064|Henry|Thomas|M|19771122|IL
W000000065|Ella|Martin|F|19941022|PA
W000000066|Nora|Wilson|F|19730616|PA
W000000067|Sebastian|Harris|M||WA
W000000068|Aria|Brown|F|19711111|OH
W000000069|Carter|Lewis|M|19740609|NC
W000000070|Jackson|Gonzalez|M|19940417|AZ
W000000071|Avery|Hernandez|F||
W000000072|Joseph|Jones|M|19871028|WA
W000000073|David|Rodriguez|M|19730609|NY
W000000074|Elijah|Young|M|19621203|MI
W000000075|Riley|Thomas|F||NY
W000000076|Noah|Anderson|M|19711120|NY
W000000077|Lucas|Lopez|M|19640319|MI
W000000078|Nora|Thompson|F|19880704|WA
W000000079|Logan|Walker|M||OH
W000000080|William|Jackson|M|19931208|OH
W000000081|Chloe|Martin|F|19930921|WA
W000000082|Zoey|Smith|F|19880721|GA
W000000083|Benjamin|Miller|M||GA
W000000084|Nora|Ramirez|F|19621218|PA
W000000085|Jacob|Thomas|M|19730328|NC
W000000086|Harper|Wilson|F|19601102|WA
W000000087|Ella|Perez|F||NJ
W000000088|Sofia|Lopez|F|19850107|CO
W000000089|Lucas|Jackson|M|19901003|MI
W000000090|Grace|Martinez|F|19720122|MI
W000000091|Oliver|Johnson|M||AZ
W000000092|Chloe|Hernandez|F|19681226|CA
W000000093|Oliver|Gonzalez|M|19690607|MI
W000000094|Ella|Lee|F|19710920|NY
W000000095|Nora|Brown|F||GA
W000000096|Charlotte|Martinez|F|19681124|GA
W000000097|Sebastian|Gonzalez|M|19890422|CO
W000000098|Alexander|Taylor|M|19850323|TX
W000000099|Jacob|Moore|M||CO
W000000101|Sofia|Thompson|F|19690716|FL
W000000102|Grace|Gonzalez|F|19600112|FL
W000000103|Aria|Miller|F|19670608|WA
W000000104|Mia|Perez|F||MA
W000000105|Matthew|Lee|M|19630724|FL
W000000106|Matthew|Rodriguez|M|19670507|MA
W000000107|Sophia|Jones|F|19721206|AZ
W000000108|Scarlett|Perez|F||NY
W000000109|Charlotte|Taylor|F|19770318|MA
W000000110|Alexander|Rodriguez|M|19870201|OH
W000000111|Mia|Garcia|F|19871209|MI
W000000112|Ethan|Gonzalez|M||CO
W000000113|Matthew|Rodriguez|M|19720710|FL
W000000114|Jacob|Moore|M|19880216|OH
W000000115|Sofia|Smith|F|19890507|
W000000116|Evelyn|Williams|F||WA
W000000117|Grace|Davis|F|19920528|CO
W000000118|Liam|Moore|M|19920221|IL
W000000119|Matthew|Jackson|M|19700922|MI
W000000120|Emily|Jackson|F||MI
W000000121|Isabella|Johnson|F|19781123|FL
W000000122|Amelia|Martin|F|19920427|OH
W000000123|Matthew|Walker|M|19800727|OH
W000000124|Scarlett|Young|F||MA
W000000126|Aria|Thomas|F|19640507|MI
W000000127|Oliver|Jones|M|19751006|NC
W000000128|Jackson|Clark|M|19661108|MA
W000000129|Liam|Brown|M||AZ
W000000130|James|Rodriguez|M|19920922|NC
W000000131|Isabella|Hernandez|F|19881110|IL
W000000132|Charlotte|Hernandez|F|19900808|CA
W000000133|Charlotte|Lee|F||FL
W000000134|Isabella|White|F|19890412|CA
W000000135|Sebastian|Lewis|M|19910320|CO
W000000136|Ava|Hernandez|F|19620710|NY
W000000137|Harper|Perez|F||CO
W000000138|Lucas|Thompson|M|19860210|GA
W000000139|Lucas|Clark|M|19870609|IL
W000000140|Logan|Rodriguez|M|19900923|PA
W000000141|Riley|Lewis|F||OH
W000000142|Daniel|Jones|M|19600420|FL
W000000143|Michael|Anderson|M|19810611|OH
W000000144|Emily|Jackson|F|19601211|NY
W000000145|Nora|Wilson|F||NC
W000000146|Ella|Hernandez|F|19720512|WA
W000000147|Alexander|Wilson|M|19800321|TX
W000000148|Sebastian|Lewis|M|19610413|PA
W000000149|Michael|Jones|M||TX
W000000150|Abigail|Thomas|F|19930106|MI
W000000151|Harper|Garcia|F|19790409|AZ
W000000152|Mia|Davis|F|19810715|NC
W000000153|Samuel|Jackson|M||OH
W000000154|Aiden|Clark|M|19680508|WA
W000000155|Noah|Young|M|19611012|MA
W000000156|Emma|Hernandez|F|19860211|GA
W000000157|Logan|Harris|M||MI
W000000158|Chloe|Lewis|F|19800306|WA
W000000159|Emma|Harris|F|19830903|NC
W000000160|Amelia|Thomas|F|19640507|MI
W000000161|David|Robinson|M||VA
W000000162|Scarlett|Perez|F|19670909|VA
W000000163|Ethan|White|M|19730503|PA
W000000164|Scarlett|Miller|F|19710715|CO
W000000165|Scarlett|Clark|F||VA
W000000166|Amelia|Brown|F|19671218|FL
W000000167|Mason|Miller|M|19860408|VA
W000000168|Logan|Lee|M|19650602|NC
W000000169|Abigail|Moore|F||CO
W000000170|Grace|Williams|F|19770226|CA
W000000171|Ella|Wilson|F|19621027|VA
