ps_unique_id|customer_nbr|group_nbr|source_derived|subgroup_nbr|account_nbr|product_ln_cd|rx_product_cd|plan_id|fund_ctg_cd|option_cd|rx_intgrtn_opt_cd|ee_id|ee_last_name|ee_first_name|subs_zip_cd|ssn_nbr|member_id|src_rx_member_id|last_name|first_name|src_mbr_gender_cd|mbr_rtp_type_cd|src_mbr_birth_dt|filler1|filler2|clm_status|dir_mbr_reim_ind|ee_ntwk_srv_area_id|office_id|sort_name|prescriber_id|spclty_ctg_cd|address_line_1|address_line_2|nabp_nbr|phm_zip_cd|process_dt|disp_dt|ndc_cd|label_nm|formulary_cd|generic_cd|source_type_cd|retail_mod_cd|new_refill_cnt|daw_cd|unts_dispensed_qty|days_supply_cnt|sub_ing_cost_amt|prof_fee_amt|awp_amt|sales_tax_amt|app_to_per_ded_amt|srv_copay_amt|paid_amt|ahf_paid_amt|ahf_bfd_amt|gpi_1st_10_bytes|phi_acas_bypass_cd|price_type_cd|calc_ing_cost_amt|prescbr_id_qlfy_cd|prod_distnctn_cd|rx_claim_id|compound_cd|maint_drug_cd|prescription_nbr|spaces1|spaces2|derived1|derived2|filler3|org_cd
002026060100000001|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000069|Lewis|Carter|13393|407502389|W000000069|W000000069|Lewis|Carter|M|EE|19740609|||P|N|NY0001|OFF0011|Lewis Carter|DR000065|01|8258 PHARMACY ST||7000011|42028|20260422|20260422|00781107905|Amlodipine 5mg|1|Y|M|R|3|2|90|30|27.00|3.25|40.50|0.00|0.00|15.00|15.25|0.00|0.00|3600002000|N|AWP|26.58|01||RX2026060100000001|0|N|3851479||||||AETNA
002026060100000002|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000327|Hernandez|Benjamin|81662||W000000520|W000000520|Hernandez|Sophia|F|SP|19810908|||P|N|NY0001|OFF0074|Hernandez Sophia|DR000134|02|1892 PHARMACY ST||7000074|29283|20260416|20260414|00054418925|Atorvastatin 20mg|2|Y|R|R|5|3|60|60|24.00|5.59|36.00|0.00|0.39|35.00|0.00|0.00|0.00|3900001000|N|AWP|23.17|01||RX2026060100000002|0|Y|7634448||||||AETNA
002026060100000003|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000381|Harris|Oliver|73289|510962801|W000000381|W000000381|Harris|Oliver|M|EE|19851001|||P|N|NY0001|OFF0008|Harris Oliver|DR000111|10|9218 PHARMACY ST||7000008|21234|20260421|20260419|65862001705|Omeprazole 20mg|1|Y|M|R|3|3|30|60|7.50|9.04|11.00|0.00|0.39|5.00|11.15|0.00|0.00|4920001000|N|AWP|7.39|01||RX2026060100000003|0|N|9382167||||||AETNA
002026060100000004|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000383|Jones|Benjamin|87743||W000000528|W000000528|Jones|Jacob|M|SP|19871102|||P|N|NY0001|OFF0080|Jones Jacob|DR000114|40|3688 PHARMACY ST||7000080|28391|20260501|20260501|00002774601|Trulicity 0.75mg|3|N|R|R|4|3|90|30|2250.00|7.31|3150.00|0.00|0.00|120.00|2137.31|0.00|0.00|2720006000|N|AWP|2240.12|01||RX2026060100000004|0|N|5047291||||||AETNA
002026060100000005|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000302|Young|Scarlett|77536|286313251|W000000302|W000000302|Young|Scarlett|F|EE|19620715|||P|N|NY0001|OFF0074|Young Scarlett|DR000129|12|1683 PHARMACY ST||7000074|29283|20260513|20260513|00169750111|Ozempic 0.5mg pen|3|N|M|R|1|0|90|90|2160.00|7.78|3300.00|0.00|0.00|80.00|2087.78|0.00|0.00|2720004000|N|AWP|2054.93|01||RX2026060100000005|0|N|9074520||||||AETNA
002026060100000006|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000326|Davis|Emma|16103|382935633|W000000326|W000000326|Davis|Emma|F|EE|19920228|||P|N|NY0001|OFF0044|Davis Emma|DR000055|10|8176 PHARMACY ST||7000044|83871|20260414|20260412|00093310505|Sertraline 50mg|1|Y|R|R|1|0|60|30|21.00|6.59|30.00|0.00|0.99|5.00|21.60|0.00|0.00|5800002000|N|AWP|20.33|01||RX2026060100000006|0|N|9951049||||||AETNA
002026060100000007|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000081|Martin|Chloe|24037|788518418|W000000081|W000000081|Martin|Chloe|F|EE|19930921|||P|N|NY0001|OFF0018|Martin Chloe|DR000023|02|6712 PHARMACY ST||7000018|73373|20260523|20260522|00093721956|Metformin 500mg|1|Y|M|R|1|0|90|60|18.75|3.99|27.00|0.00|0.00|10.00|12.74|0.00|0.00|2720002000|N|AWP|17.86|01||RX2026060100000007|0|N|5924604||||||AETNA
002026060100000008|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000073|Rodriguez|David|98659|548752320|W000000073|W000000073|Rodriguez|David|M|EE|19730609|||P|N|NY0001|OFF0044|Rodriguez David|DR000011|05|5722 PHARMACY ST||7000044|83871|20260527|20260527|00247100552|Albuterol HFA Inhaler|2|N|M|R|5|0|30|60|35.00|9.44|55.00|0.00|0.00|30.00|14.44|0.00|0.00|4400001000|N|AWP|33.41|01||RX2026060100000008|0|N|2560123||||||AETNA
002026060100000009|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000056|Smith|Avery|45236|747132596|W000000056|W000000056|Smith|Avery|F|EE|19731212|||P|N|NY0001|OFF0012|Smith Avery|DR000135|01|1790 PHARMACY ST||7000012|38230|20260413|20260411|00054418925|Atorvastatin 20mg|2|Y|R|R|5|0|30|60|12.00|7.93|18.00|0.00|0.00|35.00|0.00|0.00|0.00|3900001000|N|AWP|11.99|01||RX2026060100000009|0|N|6959628||||||AETNA
002026060100000010|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000100|Brown|Liam|28539||W000000677|W000000677|Brown|Abigail|F|CH|20000627|||P|N|NY0001|OFF0001|Brown Abigail|DR000001|50|4297 PHARMACY ST||7000001|76468|20260408|20260407|00169750111|Ozempic 0.5mg pen|3|N|R|R|3|0|90|60|2160.00|4.95|3300.00|0.00|165.85|80.00|1919.10|0.00|0.00|2720004000|N|AWP|2120.94|01||RX2026060100000010|0|Y|7635766||||||AETNA
